Carrier Frequency,Half Area Carrier,Symmetry Carrier,Weighted Center Carrier
118614666.93206406,118627929.6875,374877929.6875,118619185.84377155
166007074.7331543,228613281.25,125366210.9375,227762239.97201023
159285981.30316162,214160156.25,244873046.875,223705345.84652233
123962474.83539581,137475585.9375,130371093.75,139672093.5435468
156011766.348114,200756835.9375,316650390.625,220749750.74547663
126474584.6893158,175805664.0625,277587890.625,146242861.1157409
118215248.15755463,118212890.625,172607421.875,118245003.64076474
177856790.82323456,246289062.5,196289062.5,234111638.31834412
118636587.01545715,118652343.75,125000000.0,118639694.93791106
122835387.40607452,122827148.4375,148803710.9375,128443824.69543934
145575588.00269318,222949218.75,370727539.0625,208515879.95488393
129814320.94551086,135327148.4375,171630859.375,164201450.15510738
115060173.1048317,115063476.5625,143676757.8125,115049625.90583086
169259453.82741547,243554687.5,132812500.0,228285713.3152313
142732909.00281906,192602539.0625,233154296.875,203345489.34928674
131963192.88592148,132031250.0,143432617.1875,170900087.303569
120831566.17467499,131323242.1875,226928710.9375,122984793.63726375
183893407.77801514,232397460.9375,198486328.125,231687696.37748376
137081308.75878143,181909179.6875,179443359.375,185325841.01514167
125327998.02797699,173071289.0625,226196289.0625,136668292.54997185
164636564.76674652,214355468.75,338378906.25,226144541.57409507
128967417.69190216,129028320.3125,299316406.25,152405669.81351092
153006217.51169586,217431640.625,277832031.25,217310136.86540818
175242800.33693695,231201171.875,203491210.9375,230891936.14261222
117621641.41487122,144165039.0625,145874023.4375,121125864.55630155
122117100.69857407,175000000.0,132446289.0625,130470489.9490606
115988427.89255142,115991210.9375,144653320.3125,116507579.27443476
120114641.59301376,117089843.75,172973632.8125,120360570.60823582
129954829.85120773,149853515.625,323486328.125,158288947.02663517
149726401.62168503,220288085.9375,362182617.1875,213562842.61454898
135656822.3130684,180981445.3125,203735351.5625,178370022.2363388
141981053.51161575,184326171.875,332519531.25,198394185.45928892
120459983.72032547,85205078.125,146850585.9375,121028000.65942769
115163446.53210068,115161132.8125,173095703.125,115430909.5299283
113997208.81774521,113989257.8125,143310546.875,113988911.67152001
138020231.77183914,182690429.6875,138061523.4375,191570912.42014116
117537282.58855057,117578125.0,201538085.9375,118675450.65130547
