File_name,B_bkg [Tesla],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Energy [eV],LO frequency [Hertz],Pitch angle [degrees],Starting position [metres],Starting velocity [metres/second],Time step [seconds],Trap length [metres],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres]
out_cc7b21db-d8f4-409b-860a-929b37fa2bf3.h5,1.0,27024108283.929,213465232.76673508,18575.0,26810643051.162266,89.9,[0.0009 0.     0.    ],[-74543125.37700057 -25250044.54718149    137363.67554547],1e-09,0.1,495.8301564133053,154.60765618550025,0.02,0.005
out_fea0b363-435e-4af7-b571-ce404c22a586.h5,1.0,27055507797.416542,244864746.25427628,18575.0,26810643051.162266,86.9,[0.00405 0.      0.     ],[-65116274.3859446  -44000190.23977675   4256198.8138556 ],1e-09,0.1,495.40958395366545,154.60765618550025,0.02,0.005
out_84f9541d-99c5-46c7-b730-6f21fb940b03.h5,1.0,27051911677.410465,241268626.24819946,18575.0,26810643051.162266,87.1,[0.00335 0.      0.     ],[-78051934.87360188   9289860.52852968   3981847.96705131],1e-09,0.1,495.45762279649733,154.60765618550025,0.02,0.005
out_d66be5c8-9ac1-4bde-b5d3-37bcb81b299f.h5,1.0,27031231591.521328,220588540.3590622,18575.0,26810643051.162266,88.6,[0.0032 0.     0.    ],[59616754.43291513 51345946.30273096  1922901.07592613],1e-09,0.1,495.7345225938587,154.60765618550025,0.02,0.005
out_3295b150-edc9-4ac7-8d59-9366f3fb8ce5.h5,1.0,27049887182.081596,239244130.9193306,18575.0,26810643051.162266,87.2,[0.0031 0.     0.    ],[-65768533.62347657 -43057865.47126966   3844654.14061033],1e-09,0.1,495.48468163993505,154.60765618550025,0.02,0.005
out_c200879c-a018-4973-ae47-feba634bfaaf.h5,1.0,27032119076.808876,221476025.64661026,18575.0,26810643051.162266,88.5,[0.00305 0.      0.     ],[-75434176.65035552 -22354007.30625672  -2060220.81826565],1e-09,0.1,495.72261684878475,154.60765618550025,0.02,0.005
out_d5b56166-2b52-4c50-8329-7b8577b176ad.h5,1.0,27024709956.04674,214066904.8844757,18575.0,26810643051.162266,89.6,[0.00195 0.      0.     ],[ 2926453.81889794 78647283.05262378  -549450.51785376],1e-09,0.1,495.8220736117695,154.60765618550025,0.02,0.005
out_419b0837-24c7-440f-bb84-3977bd71d5fb.h5,1.0,27062779646.543472,252136595.3812065,18575.0,26810643051.162266,86.6,[0.005 0.    0.   ],[56791498.56914686 54288121.25778512  4667626.80126039],1e-09,0.1,495.3125439554375,154.60765618550025,0.02,0.005
out_3dcde7c5-4625-4b01-b685-730882bd7a08.h5,1.0,27024081447.155167,213438395.99290085,18575.0,26810643051.162266,90.0,[0.00025 0.      0.     ],[1.74610141e+07 7.67422579e+07 4.81920734e-09],1e-09,0.1,495.8305169575598,154.60765618550025,0.02,0.005
out_68823811-157e-449f-9921-02439d5ff95b.h5,1.0,27028645366.791737,218002315.62947083,18575.0,26810643051.162266,88.9,[0.00225 0.      0.     ],[-44200642.0521062  -65102085.66123179  -1510908.37725346],1e-09,0.1,495.76922876036275,154.60765618550025,0.02,0.005
out_a728a715-854a-4feb-9c81-2f3c1b496657.h5,1.0,27045032406.807816,234389355.64554977,18575.0,26810643051.162266,87.5,[0.003 0.    0.   ],[59913420.44833787 50920110.88618041  3433004.06422971],1e-09,0.1,495.54961205866596,154.60765618550025,0.02,0.005
out_6738b392-d1ed-4c8f-8e5d-88ff6a457640.h5,1.0,27035319955.54775,224676904.3854828,18575.0,26810643051.162266,88.2,[0.00315 0.      0.     ],[ 15034691.95724693 -77214685.89205743   2472140.71744274],1e-09,0.1,495.6796934538737,154.60765618550025,0.02,0.005
out_b6537e66-641a-4988-a166-cbd704dde253.h5,1.0,27023932633.450188,213289582.2879219,18575.0,26810643051.162266,89.9,[0.004 0.    0.   ],[ 77930067.86973584 -11006671.26901875    137363.67554547],1e-09,0.1,495.83251626018875,154.60765618550025,0.02,0.005
out_74f7b10d-b2b0-466e-a245-592d1dbfc66b.h5,1.0,27056661850.533237,246018799.37097168,18575.0,26810643051.162266,86.9,[0.00095 0.      0.     ],[-41563217.30076114  66698162.6332531   -4256198.8138556 ],1e-09,0.1,495.394174531605,154.60765618550025,0.02,0.005
out_04b416bf-723d-45d8-aca9-0d053c51a9fd.h5,1.0,27043398376.901608,232755325.73934174,18575.0,26810643051.162266,87.6,[0.00325 0.      0.     ],[32873586.64541423 71433370.26618604 -3295765.89970319],1e-09,0.1,495.57148007902873,154.60765618550025,0.02,0.005
out_d2576113-e0d2-40cc-8925-2413807f0372.h5,1.0,27036604059.770958,225961008.60869217,18575.0,26810643051.162266,88.1,[0.0033 0.     0.    ],[-33800628.42841516 -71027948.98803098   2609432.84702172],1e-09,0.1,495.66248118934817,154.60765618550025,0.02,0.005
out_d05696cf-0894-4055-8ed3-90bb31f79ec3.h5,1.0,27027195012.202282,216551961.04001617,18575.0,26810643051.162266,89.1,[0.00185 0.      0.     ],[  1623984.30820147 -78677160.51924743  -1236222.86846876],1e-09,0.1,495.7886995272006,154.60765618550025,0.02,0.005
out_76d59b48-fe15-4d53-9e7b-dc473ba02008.h5,1.0,27064520971.923473,253877920.76120758,18575.0,26810643051.162266,86.6,[0.0019 0.     0.    ],[-62218270.97450037  47972504.3787901    4667626.80126039],1e-09,0.1,495.28932670888065,154.60765618550025,0.02,0.005
out_6682b666-abe9-43ae-a09c-f96bcdeefb3c.h5,1.0,27039120849.133972,228477797.9717064,18575.0,26810643051.162266,87.9,[0.0022 0.     0.    ],[ 67050481.07921033 -41111759.04435495  -2883992.84163323],1e-09,0.1,495.6287581986091,154.60765618550025,0.02,0.005
out_dde6eece-71c3-4958-977c-48213e7996fc.h5,1.0,27030326781.81988,219683730.65761566,18575.0,26810643051.162266,88.7,[0.00205 0.      0.     ],[ 75098526.60481274 -23479441.67544516  -1785575.4760964 ],1e-09,0.1,495.74666283904094,154.60765618550025,0.02,0.005
out_b244b597-e53b-4c4d-b5c8-57fd899c9071.h5,1.0,27054218393.019066,243575341.85680008,18575.0,26810643051.162266,87.0,[0.0021 0.     0.    ],[-20346369.69207921 -75916533.07656245  -4119029.66409281],1e-09,0.1,495.42680467900897,154.60765618550025,0.02,0.005
out_91db3305-0aaf-4419-ae30-74542b9aa5b3.h5,1.0,27033288488.279922,222645437.1176567,18575.0,26810643051.162266,88.4,[0.0022 0.     0.    ],[70771084.55780232 34364015.96095386 -2197534.28481529],1e-09,0.1,495.7069321226272,154.60765618550025,0.02,0.005
out_96668405-5c4d-4113-9efc-400dcc1ea7cb.h5,1.0,27048393346.6853,237750295.52303314,18575.0,26810643051.162266,87.3,[0.00235 0.      0.     ],[-14865403.20013426 -77198029.58587165   3707448.60268611],1e-09,0.1,495.50465456917135,154.60765618550025,0.02,0.005
out_70709c43-ba1d-4398-8c1a-924fa308da37.h5,1.0,27060836573.086063,250193521.9237976,18575.0,26810643051.162266,86.7,[0.00425 0.      0.     ],[-4829252.29422176 78424575.68483356  4530497.80022054],1e-09,0.1,495.3384602742057,154.60765618550025,0.02,0.005
out_5db55012-530c-4860-8aec-323995db3ad2.h5,1.0,27027713358.11402,217070306.95175552,18575.0,26810643051.162266,89.0,[0.0043 0.     0.    ],[ 71102127.81107669 -33717382.63648397  -1373567.71492384],1e-09,0.1,495.78174019699276,154.60765618550025,0.02,0.005
out_90de03e2-a2af-4ee4-8a50-fab622cb2f4a.h5,1.0,27029398070.442482,218755019.28021622,18575.0,26810643051.162266,88.8,[0.003 0.    0.   ],[54153868.6500935  57086801.97636968 -1648244.43709414],1e-09,0.1,495.7591259796358,154.60765618550025,0.02,0.005
out_2c591d2d-570f-4b98-bf60-366eaa51ede9.h5,1.0,27025783363.65884,215140312.4965744,18575.0,26810643051.162266,89.3,[0.00415 0.      0.     ],[-41515423.87185457 -66856609.35912345    961522.29669855],1e-09,0.1,495.8076558860604,154.60765618550025,0.02,0.005
out_b9aede56-d312-4098-882c-aa3393d77762.h5,1.0,27025496694.98659,214853643.82432556,18575.0,26810643051.162266,89.4,[0.00095 0.      0.     ],[ 55544555.78221752 -55752885.39999229   -824167.40816897],1e-09,0.1,495.8115060522355,154.60765618550025,0.02,0.005
out_12005c89-e8f4-424a-a67d-e11f23da1969.h5,1.0,27034375162.860554,223732111.69828796,18575.0,26810643051.162266,88.3,[0.0023 0.     0.    ],[78136070.26266074 -9141345.6630275  -2334841.05729442],1e-09,0.1,495.692360263288,154.60765618550025,0.02,0.005
out_9b033434-88df-4dfe-8638-5eaeaadcfa66.h5,1.0,27046526868.208908,235883817.0466423,18575.0,26810643051.162266,87.4,[0.00225 0.      0.     ],[  7103031.52839942 -78301095.44311303   3570231.77123046],1e-09,0.1,495.52961787012896,154.60765618550025,0.02,0.005
out_94b0ed9b-f644-4f5f-8b96-9398807f407a.h5,1.0,27037914620.308342,227271569.1460762,18575.0,26810643051.162266,88.0,[0.00215 0.      0.     ],[-20542707.95754374 -75925712.73768468   2746717.02781569],1e-09,0.1,495.6449186786271,154.60765618550025,0.02,0.005
out_d4f05de8-77b5-4e27-a9e5-d5c418201c66.h5,1.0,27042005599.831703,231362548.6694374,18575.0,26810643051.162266,87.7,[0.002 0.    0.   ],[-40626660.83851952  67333196.52640203   3158517.69570215],1e-09,0.1,495.5901248581995,154.60765618550025,0.02,0.005
out_e796c541-cee4-4abb-afc0-404cadbc2d74.h5,1.0,27026022648.52025,215379597.35798264,18575.0,26810643051.162266,89.3,[0.00085 0.      0.     ],[   291025.44558698 -78697216.84054786    961522.29669855],1e-09,0.1,495.8044422809907,154.60765618550025,0.02,0.005
out_2429b0b0-de76-456f-ad2c-a01c3ac1d20b.h5,1.0,27025320795.037724,214677743.87545776,18575.0,26810643051.162266,89.4,[0.00405 0.      0.     ],[ 74464120.31313848 -25469132.16933364    824167.40816897],1e-09,0.1,495.81386861995344,154.60765618550025,0.02,0.005
out_d911c013-d748-4ad3-8094-df4d785d2e31.h5,1.0,27024277147.814102,213634096.6518364,18575.0,26810643051.162266,89.7,[0.0042 0.     0.    ],[49978587.1166754  60796646.05528291  -412089.35290339],1e-09,0.1,495.82788781878764,154.60765618550025,0.02,0.005
out_7461b597-e478-45c6-b0fd-178e06586491.h5,1.0,27040526884.61225,229883833.4499855,18575.0,26810643051.162266,87.8,[0.00305 0.      0.     ],[-27582484.74018895 -73650116.65801041   3021259.87030847],1e-09,0.1,495.60992552832334,154.60765618550025,0.02,0.005
out_0047f35b-52a2-471b-b95c-30648e4b4180.h5,1.0,27026458619.480736,215815568.31847,18575.0,26810643051.162266,89.2,[0.00395 0.      0.     ],[ 2731391.25916923 78648541.85897848  1098874.25626444],1e-09,0.1,495.79858755396134,154.60765618550025,0.02,0.005
