File_name,B_bkg [Tesla],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Energy [eV],LO frequency [Hertz],Pitch angle [degrees],Starting position [metres],Starting velocity [metres/second],Time step [seconds],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres]
out_72322313-628b-49d5-98ea-30092d476c8d.h5,1.0048571427712552,27010452267.737232,118614666.93206406,18575.0,26891837600.80517,89.9,[0.0009 0.     0.    ],[-74088941.24098547 -26553174.5069338    -137363.67554547],1e-09,496.01386174924346,154.60765618550025,0.02,0.005
out_5ea119f4-879b-4b81-a2a4-20b6bf0d96d5.h5,1.0048571427712552,27057844675.538322,166007074.7331543,18575.0,26891837600.80517,86.9,[0.00405 0.      0.     ],[-58926953.64039212 -51997692.8882931   -4256198.8138556 ],1e-09,495.37838447244155,154.60765618550025,0.02,0.005
out_d48a40fc-f4f9-41d1-88b1-9c84719c50c0.h5,1.0048571427712552,27051123582.10833,159285981.30316162,18575.0,26891837600.80517,87.1,[0.00335 0.      0.     ],[ 30520911.30958569 -72435350.61684266   3981847.96705131],1e-09,495.46815501074406,154.60765618550025,0.02,0.005
out_e1f003b5-d258-48c6-936b-3cb6c76777f4.h5,1.0048571427712552,27015800075.640564,123962474.83539581,18575.0,26891837600.80517,88.6,[0.0032 0.     0.    ],[52511572.06455867 58592648.08955215  1922901.07592613],1e-09,495.9418637217429,154.60765618550025,0.02,0.005
out_ed6c23d8-d2c8-422d-a095-cc6ea811522e.h5,1.0048571427712552,27047849367.153282,156011766.348114,18575.0,26891837600.80517,87.2,[0.0031 0.     0.    ],[ 33524525.35793234 -71102644.06792252   3844654.14061033],1e-09,495.5119291249434,154.60765618550025,0.02,0.005
out_fb425a53-8773-44c8-a7e9-2f4fd7bd66ab.h5,1.0048571427712552,27018312185.494484,126474584.6893158,18575.0,26891837600.80517,88.5,[0.00305 0.      0.     ],[ 65973663.01431361 -42865982.29411066   2060220.81826565],1e-09,495.9080685289563,154.60765618550025,0.02,0.005
out_9c0de879-7e39-4dc5-9be8-b0cc6f22d77a.h5,1.0048571427712552,27010052848.962723,118215248.15755463,18575.0,26891837600.80517,89.6,[0.00195 0.      0.     ],[-69510880.14062415  36907950.43875302   -549450.51785376],1e-09,496.01924213612705,154.60765618550025,0.02,0.005
out_cb4e57ab-eeee-4423-b5cf-5e29296eb595.h5,1.0048571427712552,27069694391.628403,177856790.82323456,18575.0,26891837600.80517,86.6,[0.005 0.    0.   ],[-76779638.71848324 -16654173.58167556  -4667626.80126039],1e-09,495.2203947114774,154.60765618550025,0.02,0.005
out_04b05ddb-6032-4e38-8244-83ec53510e5e.h5,1.0048571427712552,27010474187.820625,118636587.01545715,18575.0,26891837600.80517,90.0,[0.00025 0.      0.     ],[-1.52331515e+07  7.72153628e+07  4.81920734e-09],1e-09,496.01356648584346,154.60765618550025,0.02,0.005
out_472d544c-a077-432c-9b33-a500194e5687.h5,1.0048571427712552,27014672988.211243,122835387.40607452,18575.0,26891837600.80517,88.9,[0.00225 0.      0.     ],[ 65915904.29063719 -42977574.11497697   1510908.37725346],1e-09,495.9570316398248,154.60765618550025,0.02,0.005
out_dc186303-4477-4318-b22a-d94ce6139768.h5,1.0048571427712552,27037413188.80786,145575588.00269318,18575.0,26891837600.80517,87.5,[0.003 0.    0.   ],[-2806647.70740676 78578612.68262966  3433004.06422971],1e-09,495.65163772103045,154.60765618550025,0.02,0.005
out_0a7e0dce-430f-4b4d-9d59-3417a8fac60a.h5,1.0048571427712552,27021651921.75068,129814320.94551086,18575.0,26891837600.80517,88.2,[0.00315 0.      0.     ],[25915748.61585001 74273303.7728797   2472140.71744274],1e-09,495.8631646356513,154.60765618550025,0.02,0.005
out_efbbeea0-2e2f-493a-8fc8-7179f84fcb40.h5,1.0048571427712552,27006897773.91,115060173.1048317,18575.0,26891837600.80517,89.9,[0.004 0.    0.   ],[ 70872069.74160449 -34225604.75940529   -137363.67554547],1e-09,496.06175725126656,154.60765618550025,0.02,0.005
out_0f9e6b6d-e972-4865-b128-a6b4d83ceb61.h5,1.0048571427712552,27061097054.632584,169259453.82741547,18575.0,26891837600.80517,86.9,[0.00095 0.      0.     ],[-71555213.97730544  32496111.82440451   4256198.8138556 ],1e-09,495.3349854641166,154.60765618550025,0.02,0.005
out_f19f3dfd-28d1-4d21-8545-ce0a2f553685.h5,1.0048571427712552,27034570509.807987,142732909.00281906,18575.0,26891837600.80517,87.6,[0.00325 0.      0.     ],[63536988.7591451  46329797.60305304  3295765.89970319],1e-09,495.689741063627,154.60765618550025,0.02,0.005
out_17a8873e-effc-4651-8e78-6220db59e939.h5,1.0048571427712552,27023800793.69109,131963192.88592148,18575.0,26891837600.80517,88.1,[0.0033 0.     0.    ],[78096985.40504123  9397493.8279786   2609432.84702172],1e-09,495.8342875667361,154.60765618550025,0.02,0.005
out_9fc15835-eb31-422b-b042-f7c620b28636.h5,1.0048571427712552,27012669166.979843,120831566.17467499,18575.0,26891837600.80517,89.1,[0.00185 0.      0.     ],[-13069585.14146049  77601023.554041    -1236222.86846876],1e-09,495.9840064375963,154.60765618550025,0.02,0.005
out_55ba3fea-09e8-4968-9fc9-bf5514589153.h5,1.0048571427712552,27075731008.583183,183893407.77801514,18575.0,26891837600.80517,86.6,[0.0019 0.     0.    ],[-73423545.80329445  27954558.50305837  -4667626.80126039],1e-09,495.1400475335179,154.60765618550025,0.02,0.005
out_6421bb60-4aa2-4956-b0fa-3fba79a29747.h5,1.0048571427712552,27028918909.56395,137081308.75878143,18575.0,26891837600.80517,87.9,[0.0022 0.     0.    ],[23177783.69145283 75158060.69761825 -2883992.84163323],1e-09,495.76555710298834,154.60765618550025,0.02,0.005
out_819bb6e9-3adc-4c92-b292-392eda3e3155.h5,1.0048571427712552,27017165598.833145,125327998.02797699,18575.0,26891837600.80517,88.7,[0.00205 0.      0.     ],[-13669307.16492831 -77486920.9688657    1785575.4760964 ],1e-09,495.9234914319283,154.60765618550025,0.02,0.005
out_4dcdc18f-35f7-48e8-90a2-a9ec14d2d203.h5,1.0048571427712552,27056474165.571915,164636564.76674652,18575.0,26891837600.80517,87.0,[0.0021 0.     0.    ],[ -8407620.00884819 -78144780.24665739  -4119029.66409281],1e-09,495.39668035114704,154.60765618550025,0.02,0.005
out_9e7a7d33-e944-46a7-b96a-f91b8501911b.h5,1.0048571427712552,27020805018.49707,128967417.69190216,18575.0,26891837600.80517,88.4,[0.0022 0.     0.    ],[ 54802385.56512552 -56445819.49820216   2197534.28481529],1e-09,495.8745488087486,154.60765618550025,0.02,0.005
out_73525bca-cb91-45bd-b7ee-e44d1bfb3e5b.h5,1.0048571427712552,27044843818.316864,153006217.51169586,18575.0,26891837600.80517,87.3,[0.00235 0.      0.     ],[-78027307.23088914   9604962.80784644   3707448.60268611],1e-09,495.55213556504447,154.60765618550025,0.02,0.005
out_d8fef366-d693-4087-b023-07e3e8f9583c.h5,1.0048571427712552,27067080401.142105,175242800.33693695,18575.0,26891837600.80517,86.7,[0.00425 0.      0.     ],[-25110396.72518982 -74452694.54741722   4530497.80022054],1e-09,495.255215666854,154.60765618550025,0.02,0.005
out_2c5c762e-1a77-4efb-ad4c-44abaaba05fe.h5,1.0048571427712552,27009459242.22004,117621641.41487122,18575.0,26891837600.80517,89.0,[0.0043 0.     0.    ],[68392222.94133072 38921437.69519659 -1373567.71492384],1e-09,496.0272391044399,154.60765618550025,0.02,0.005
out_9803110c-b8be-489c-b3a9-11390c3da094.h5,1.0048571427712552,27013954701.503742,122117100.69857407,18575.0,26891837600.80517,88.8,[0.003 0.    0.   ],[-61467107.76585306  49125747.95931182   1648244.43709414],1e-09,495.966699788496,154.60765618550025,0.02,0.005
