File_name,Axial F [Hertz],B_bkg [Tesla],Delta E [eV],Gas density [m^-3],Helium fraction,LO frequency [Hertz],Pitch angle [degrees],Start E [eV],Start F [Hertz],"Start F, downmixed [Hertz]",Time [seconds],Time step [seconds],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres],x_start [metres],y_start [metres],z_max [metres],z_start [metres]
out_8a037d5e-1f7a-452c-a217-3d876c2f475d.h5,"[ 5.29412839e+07  5.30140197e+07  5.30348381e+07  5.30348381e+07
  5.30244269e+07  4.69342190e+07  4.84582760e+07  1.56783394e+07
 -1.00000000e+00]",1.0048897590285832,"[ -1.          15.54370208  26.87286855   0.65706131  13.64308658
  71.57993553  23.01605092 100.19316451  95.95509169]",1e+18,0.0,26760643051.162266,"[89.68497759 89.77094065 89.87688126 89.8775307  89.89540873 88.33571277
 88.55887062 86.33422301 86.83005296]","[17617.8740596  17617.13470545 17600.86214744 17573.86333551
 17573.11768504 17559.17032539 17487.33328438 17464.30630636
 17363.93455567]","[2.70590968e+10 2.70597360e+10 2.70610075e+10 2.70610480e+10
 2.70617345e+10 2.70774871e+10 2.70755033e+10 2.71560234e+10
 2.72014697e+10]","[2.98453740e+08 2.99092900e+08 3.00364490e+08 3.00404939e+08
 3.01091414e+08 3.16844036e+08 3.14860228e+08 3.95380309e+08
 4.40826636e+08]","[0.         0.00011009 0.00021871 0.00023751 0.00025073 0.00029619
 0.00033473 0.00033637 0.0003632 ]",1e-09,447.9773045812128,155.64586390071958,0.02,0.006,"[ 1.55669120e-03  1.01592017e-03 -1.49533141e-03 -1.30173712e-03
 -2.34927205e-06 -1.34177341e-03  9.84198400e-04  2.06502203e-03
  1.02511395e-03]","[-0.00032699  0.00199686  0.00088626  0.00048515 -0.00137006  0.00100139
  0.00095368  0.00046479  0.00198885]","[ 0.00126706  0.00092016  0.00049421  0.00049161  0.0004198   0.00722911
  0.00612823  0.03024256 -0.02766234]","[ 0.00000000e+00 -7.07139456e-04  8.28469670e-05  2.81858676e-04
  1.60193347e-04  4.15282328e-04  1.42105185e-03 -1.11072191e-03
 -2.76467792e-02]"
out_b1718148-703c-4bce-b006-d57aa87b5021.h5,"[ 5.44130601e+07  5.39027002e+07  4.89234614e+07  3.90270814e+07
  3.50605439e+07 -1.00000000e+00]",1.0048897590285832,[-1.         23.52384308 36.66385847 23.47560542 21.29689373 97.16043035],1e+18,0.0,26760643051.162266,[89.90344337 89.51779474 88.44141916 87.46524448 87.1952964  85.18380994],"[17750.93290057 17750.21603768 17726.64082248 17689.17742809
 17665.36471873 17643.7421806 ]","[2.70508215e+10 2.70529775e+10 2.70644413e+10 2.70858846e+10
 2.70955640e+10 2.71712152e+10]","[2.90178415e+08 2.92334418e+08 3.03798236e+08 3.25241564e+08
 3.34920982e+08 4.10572115e+08]",[0.         0.00010596 0.00011356 0.0002321  0.00028209 0.00033041],1e-09,448.034060996005,155.64586390071958,0.02,0.006,[ 0.00232436 -0.00112426  0.0024173  -0.0013322   0.00265061 -0.00064597],[ 0.00079083  0.00281544 -0.00139651 -0.00246666  0.00012352 -0.00256461],[0.00037962 0.00190682 0.00656565 0.01233287 0.01457819 0.07498636],[ 0.          0.00031129 -0.00151509 -0.00516301 -0.01227999  0.00355096]
out_248d2de9-9f49-4117-91df-40185b930305.h5,"[ 5.08100885e+07  5.08005324e+07  4.89944550e+07  4.74620331e+07
  4.93074901e+07  4.98811506e+07 -1.00000000e+00]",1.0048897590285832,"[ -1.           0.38887301  19.78855092  24.67512243  16.49584474
 110.99587796 188.69989195]",1e+18,0.0,26760643051.162266,"[88.73526264 88.73475774 88.45540575 88.25773948 88.5068848  88.61597107
 85.66036657]","[18260.26613298 18259.5597375  18258.48364157 18238.5718147
 18213.77411139 18197.06185863 18085.70092406]","[2.70323974e+10 2.70324740e+10 2.70370126e+10 2.70412758e+10
 2.70384430e+10 2.70426642e+10 2.71516219e+10]","[2.71754396e+08 2.71830930e+08 2.76369515e+08 2.80632753e+08
 2.77799985e+08 2.82021192e+08 3.90978899e+08]","[0.         0.00010152 0.00020028 0.00021802 0.00023567 0.00026687
 0.00031983]",1e-09,448.16068732868246,155.64586390071958,0.02,0.006,"[-0.00152888 -0.00095865  0.00101139 -0.00180482  0.00153318  0.00025201
 -0.00046019]","[-0.00197253  0.00220177  0.00213028 -0.00046257 -0.00081357 -0.00248579
 -0.00198458]","[0.00527755 0.00528005 0.00659816 0.00759463 0.00634758 0.00582789
 0.07499763]","[ 0.          0.00270033  0.00402191  0.00653701  0.0033368   0.00484017
 -0.00257072]"
out_d5b97306-af92-4d77-860e-b0efbf09e114.h5,[ 4.55414653e+06  7.55310060e+06  7.29248712e+06 -1.00000000e+00],1.0048897590285832,[ -1.          48.10200782 120.68202499  60.23283489],1e+18,0.0,26760643051.162266,[86.04226389 86.10043363 86.09540589 85.56326462],[18545.20002212 18545.09978703 18496.85258889 18375.65666468],[2.71280499e+10 2.71219059e+10 2.71282566e+10 2.71246099e+10],[3.67406853e+08 3.61262799e+08 3.67613566e+08 3.63966855e+08],[0.00000000e+00 1.40742907e-05 3.45307964e-05 1.07400660e-04],1e-09,447.5072368475645,155.64586390071958,0.02,0.006,[-0.00138037 -0.00242117 -0.00254792 -0.00166204],[ 0.00122668  0.00099573  0.00060407 -0.00170666],[0.06056547 0.04707298 0.04786238 0.04548974],[ 0.          0.04696877 -0.04705617  0.04550054]
out_be48f973-3799-44a6-974f-376fe22aa9bf.h5,"[ 4.80274592e+07  1.49709805e+07  1.60348133e+07  1.16565869e+07
  1.18942459e+07 -1.00000000e+00]",1.0048897590285832,"[ -1.          42.73612657  29.16741715  36.63405857  15.86097684
 115.09589091]",1e+18,0.0,26760643051.162266,[88.29141504 86.29388909 86.32671477 86.2009933  86.20735507 85.95716978],"[18415.47590148 18414.25976145 18371.34038409 18341.56335318
 18304.62834775 18288.59060286]","[2.70303828e+10 2.71076021e+10 2.71062035e+10 2.71193144e+10
 2.71197476e+10 2.71386800e+10]","[2.69739782e+08 3.46959041e+08 3.45560424e+08 3.58671348e+08
 3.59104521e+08 3.78036926e+08]",[0.         0.00017328 0.00019932 0.00028611 0.00032899 0.00035421],1e-09,448.1745557799022,155.64586390071958,0.02,0.006,[ 0.00169671 -0.00030758 -0.00188667  0.00032214  0.00215807  0.00174099],[-0.00024367  0.00170442  0.00168826 -0.00246954 -0.00085035  0.00030419],[0.00741372 0.03171594 0.03029961 0.03696096 0.03651497 0.07499754],[ 0.          0.00260926  0.02800026 -0.01637384 -0.03369612 -0.03606844]
out_97937ee7-0b05-472e-8010-9df675d738ad.h5,[ 1.73078579e+07 -1.00000000e+00],1.0048897590285832,[ -1.         549.62560652],1e+18,0.0,26760643051.162266,[86.35880855 79.45325807],[17878.13978502 17878.03038216],[2.71262566e+10 2.71849699e+10],[3.65613597e+08 4.24326805e+08],[0.00000000e+00 1.59769903e-05],1e-09,447.5193977952046,155.64586390071958,0.02,0.006,[-0.00245752 -0.00276135],[ 0.00032551 -0.00153151],[ 0.02848714 -0.00900011],[ 0.         -0.00894848]
out_6986baff-8826-4f84-b8a4-8f91cdcabb9b.h5,[ 1.35718235e+07 -1.00000000e+00],1.0048897590285832,[-1.         42.51956649],1e+18,0.0,26760643051.162266,[86.27199908 85.51212012],[17834.10429368 17833.47294546],[2.71379652e+10 2.71482030e+10],[3.77322161e+08 3.87559984e+08],[0.00000000e+00 9.23499995e-05],1e-09,447.4400576583,155.64586390071958,0.02,0.006,[ 0.00150812 -0.00087311],[-0.00047871  0.00103671],[0.03349839 0.07499463],[ 0.         -0.03275416]
out_494e1402-a42c-4130-be20-adf0e02c0970.h5,"[ 5.41295452e+07  5.38489694e+07  5.35076130e+07  5.42164654e+07
  5.47217242e+07  5.46110858e+07  5.42818389e+07 -1.00000000e+00]",1.0048897590285832,"[ -1.          30.76262604  45.6117672   18.42535998  49.76119884
  28.00134949  16.80189811 416.83555583]",1e+18,0.0,26760643051.162266,"[89.21733583 89.1526541  89.08843819 89.29284537 89.50484039 89.47465932
 89.36225815 85.12291737]","[18567.15155474 18566.71342942 18535.76641613 18490.08782605
 18471.61733942 18421.54728673 18393.13149618 18375.62277149]","[2.70117495e+10 2.70137906e+10 2.70166332e+10 2.70161846e+10
 2.70176558e+10 2.70192229e+10 2.70206558e+10 2.71449794e+10]","[2.51106422e+08 2.53147537e+08 2.55990157e+08 2.55541596e+08
 2.57012766e+08 2.58579857e+08 2.60012711e+08 3.84336307e+08]","[0.00000000e+00 6.19532143e-05 8.80692974e-05 9.75566944e-05
 1.03970316e-04 1.47984686e-04 2.07136080e-04 3.08109310e-04]",1e-09,448.30303477258155,155.64586390071958,0.02,0.006,"[ 6.03705629e-06  2.08737882e-03 -7.57154041e-05 -4.54927849e-04
  2.71252712e-03 -2.63531680e-03 -1.42037206e-03  3.06669671e-03]","[ 0.00222694  0.00083544 -0.00235613  0.00250981 -0.00145448 -0.00078764
  0.00201034 -0.0002782 ]","[0.00313424 0.00340302 0.00367437 0.00282479 0.00196411 0.00208546
 0.0025412  0.00178776]","[ 0.          0.00305134  0.00107154 -0.00282442  0.00086703  0.00142655
 -0.00183238  0.00181203]"
out_6324cc02-9e03-40f6-a284-5fc9448e5343.h5,"[ 3.00418675e+07  3.20829588e+07  3.10181937e+07  4.30174280e+07
  4.30174280e+07  5.03835908e+07  5.04871833e+07  5.04871833e+07
  5.18537974e+07  1.49213584e+07  1.55743776e+07 -1.00000000e+00]",1.0048897590285832,"[ -1.          20.96182831  17.05866006 144.69598539   0.3827318
  29.68443778  19.14790604   0.35771003  17.58224666 117.2516185
  21.89463226  57.15971634]",1e+18,0.0,26760643051.162266,"[86.95742581 87.07608843 87.01437207 87.94293314 87.9427299  89.05623822
 89.08699947 89.0873072  89.60291904 86.3218986  86.34325445 84.50304956]","[17595.02707067 17594.83995954 17573.85043564 17556.40482941
 17411.58504101 17411.00666896 17381.10895616 17361.94834755
 17361.15231617 17343.4223343  17226.05554634 17203.82088662]","[2.71087722e+10 2.71051538e+10 2.71084680e+10 2.70889794e+10
 2.70890045e+10 2.70751263e+10 2.70758670e+10 2.70758835e+10
 2.70739653e+10 2.71653304e+10 2.71645572e+10 2.71757487e+10]","[3.48129114e+08 3.44510724e+08 3.47824955e+08 3.28336308e+08
 3.28361466e+08 3.14483258e+08 3.15223930e+08 3.15240468e+08
 3.13322273e+08 4.04687339e+08 4.03914197e+08 4.15105605e+08]","[0.00000000e+00 2.78237192e-05 3.19482481e-05 8.96201268e-05
 1.08252229e-04 1.37696590e-04 1.69871591e-04 1.71790026e-04
 2.37990819e-04 2.60328617e-04 2.77765795e-04 3.29320519e-04]",1e-09,447.63814725809,155.64586390071958,0.02,0.006,"[-0.00018359 -0.00056253 -0.00059963  0.00030068 -0.00011744  0.00098043
 -0.00018466 -0.00097268 -0.0008828  -0.00136584 -0.00112172  0.0002775 ]","[ 9.74379145e-04  1.27416768e-03  1.24710268e-03  1.32904681e-03
 -1.32054946e-03  9.75454157e-04 -5.58614421e-04 -8.56426832e-04
 -2.24030750e-05  3.07522163e-04 -5.15236155e-04 -1.10292300e-03]","[0.01754847 0.01620725 0.0168835  0.00947574 0.00947703 0.00392007
 0.00378634 0.00378491 0.00161699 0.03119792 0.03031232 0.07498247]","[ 0.         -0.0132742   0.01519579  0.00886823 -0.00689043 -0.00019815
 -0.00367361 -0.00279884 -0.00078034 -0.00018047 -0.03003716 -0.02956221]"
out_a8ef57b6-eec4-4f8e-aa57-1b16f8f16deb.h5,[ 1.95191813e+07  1.95121311e+07 -1.00000000e+00],1.0048897590285832,[-1.          0.46477631 61.60653353],1e+18,0.0,26760643051.162266,[86.45664324 86.45640862 85.12846827],[18503.95908769 18503.83870022 18503.01984592],[2.70890222e+10 2.70891422e+10 2.71112471e+10],[3.28379168e+08 3.28499180e+08 3.50604022e+08],[0.00000000e+00 1.70032656e-05 6.70143518e-05],1e-09,447.77267385188964,155.64586390071958,0.02,0.006,[-0.00043391  0.00019435  0.00059204],[-0.00051048 -0.0012845  -0.00050626],[0.0264846  0.02649022 0.07499472],[ 0.         -0.02064183 -0.02638406]
