File_name,Axial F [Hertz],B_bkg [Tesla],Delta E [eV],Gas density [m^-3],Helium fraction,LO frequency [Hertz],Pitch angle [degrees],Start E [eV],Start F [Hertz],"Start F, downmixed [Hertz]",Time [seconds],Time step [seconds],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres],x_start [metres],y_start [metres],z_max [metres],z_start [metres]
out_358fd2ee-4465-4c4c-8013-ecb00a66a768.h5,"[ 5.13120119e+07  5.26934121e+07  5.01032147e+07  4.91638934e+07
  5.00660668e+07  4.93525362e+07  4.87468743e+07  4.86240199e+07
  2.52742987e+07  2.66009878e+07  1.03255641e+07  1.02266557e+07
  1.06513045e+07 -1.00000000e+00]",1.0048897590285832,"[ -1.          18.51451128  15.78317118  17.67518697  16.18864985
  33.58686594  22.56967535  18.75982662 164.86454441  17.46727455
 166.49212415  36.02185879  15.75793123  21.85630295]",1e+18,0.0,26760643051.162266,"[88.69308057 88.95465057 88.5121189  88.38635784 88.51338125 88.42274303
 88.34765005 88.33522564 86.66600595 86.72589096 86.16021662 86.15802373
 86.16889069 85.45840471]","[18415.72906796 18415.30296695 18396.36130432 18380.45207645
 18362.4850782  18328.34959464 18294.17314295 18271.43799679
 18252.18431037 18087.09037883 18069.51469523 17902.90928627
 17866.58033274 17850.14572981]","[2.70243423e+10 2.70226279e+10 2.70283707e+10 2.70310932e+10
 2.70301209e+10 2.70340396e+10 2.70362782e+10 2.70374853e+10
 2.70960216e+10 2.70938014e+10 2.71436109e+10 2.71458562e+10
 2.71449850e+10 2.71452098e+10]","[2.63699235e+08 2.61984821e+08 2.67727610e+08 2.70450148e+08
 2.69477868e+08 2.73396574e+08 2.75635156e+08 2.76842270e+08
 3.35378592e+08 3.33158386e+08 3.82967826e+08 3.85213197e+08
 3.84341959e+08 3.84566762e+08]","[0.00000000e+00 6.07277964e-05 1.21673902e-04 1.39671338e-04
 1.81370563e-04 2.25739471e-04 3.10300507e-04 3.34061268e-04
 4.05049092e-04 4.38217638e-04 4.53911854e-04 4.70406216e-04
 5.15207577e-04 6.14025064e-04]",1e-09,448.21616478586253,155.64586390071958,0.02,0.006,"[-0.00062299  0.00213198 -0.00031043 -0.00210063  0.00275197 -0.00195635
 -0.00071299 -0.00211329  0.00286964  0.0020719   0.00155622  0.00075625
 -0.0012099  -0.00085839]","[-2.85292984e-03  2.13798453e-03  2.39158504e-03 -1.08001697e-03
  7.47486672e-04  1.79802809e-03  2.91069074e-03  4.45659683e-04
  7.97549997e-05  2.15339975e-03  1.64612651e-03  2.05555508e-03
  2.40527811e-03 -1.99691067e-03]","[0.00541169 0.00425224 0.00625465 0.00686472 0.00624825 0.00668591
 0.00705765 0.00711994 0.02122803 0.02023308 0.03936547 0.0395598
 0.03864381 0.07499996]","[ 0.          0.00347826  0.00168545  0.00429564  0.00558524 -0.00385976
 -0.00528978  0.00705736  0.00205659  0.02014604 -0.01953336  0.03929605
  0.02433174 -0.02084282]"
out_5456ca81-01ad-47bd-987d-62e6656becc1.h5,"[ 3.08305479e+07  2.26675420e+07  1.94167515e+07  1.94041976e+07
  3.37409504e+06  4.77337911e+06 -1.00000000e+00]",1.0048897590285832,"[-1.         17.8485763  18.75856448  0.3542997  17.08710388 19.45986727
 20.94487078]",1e+18,0.0,26760643051.162266,"[86.96537474 86.57709757 86.45162573 86.45117852 86.02569858 86.04992393
 85.96029474]","[17786.24540281 17786.23016534 17768.14338296 17748.98760108
 17748.61628526 17731.14526564 17711.02980044]","[2.70978558e+10 2.71181626e+10 2.71270803e+10 2.71272725e+10
 2.71743819e+10 2.71707636e+10 2.71671634e+10]","[3.37212718e+08 3.57519595e+08 3.66437275e+08 3.66629482e+08
 4.13738852e+08 4.10120589e+08 4.06520354e+08]","[0.00000000e+00 2.24206912e-06 3.72787096e-05 9.57284461e-05
 9.82324330e-05 1.54551141e-04 2.50873892e-04]",1e-09,447.7124528468116,155.64586390071958,0.02,0.006,"[-8.77706281e-05 -1.98200079e-04  1.21592863e-03  1.92601524e-03
  1.78039928e-03  1.06227001e-03 -1.48868768e-03]","[-0.00252838 -0.00249842 -0.00183833  0.00161612  0.00179232  0.00166365
  0.00144121]","[0.0171828  0.0231689  0.02617861 0.02619102 0.06900936 0.0586092
 0.07499837]","[ 0.         -0.01319268 -0.02311628  0.00496574  0.01359528  0.02841526
 -0.05756799]"
out_068d0569-bde5-416f-82f2-042c4dd10204.h5,"[ 4.08262440e+07  4.47048048e+07  4.34604072e+07  3.36455444e+07
  1.16359984e+07  9.60754181e+06  1.24725910e+07 -1.00000000e+00]",1.0048897590285832,"[-1.         30.14380483 30.73843134 94.7316716  24.85722889 18.33702446
 79.44480837 37.07001806]",1e+18,0.0,26760643051.162266,"[87.61425731 87.97087748 87.85133143 87.12182531 86.21130718 86.16032382
 86.2345989  85.93946006]","[18497.09302714 18496.66467362 18465.38821774 18434.3704143
 18339.22544046 18312.53104634 18293.91153325 18213.87362846]","[2.70407941e+10 2.70342196e+10 2.70383134e+10 2.70638942e+10
 2.71193980e+10 2.71261192e+10 2.71220168e+10 2.71369821e+10]","[2.80151085e+08 2.73576553e+08 2.77670327e+08 3.03251157e+08
 3.58754951e+08 3.65476112e+08 3.61373760e+08 3.76339033e+08]","[0.00000000e+00 6.07225425e-05 2.21616985e-04 2.61363694e-04
 3.20393961e-04 5.82070817e-04 6.22328503e-04 7.07276707e-04]",1e-09,448.102932359476,155.64586390071958,0.02,0.006,"[ 6.91364619e-05  1.57093989e-04  3.53756915e-04 -1.54876556e-03
  1.27226573e-03  1.38887525e-03 -1.54432175e-04 -1.23230612e-03]","[ 1.50038380e-03  1.83183503e-03  1.57139853e-03  8.43886071e-04
  1.16016903e-03  5.44766213e-04  1.69685603e-03 -6.44873666e-05]","[0.01155046 0.00926847 0.00998879 0.01566592 0.03704165 0.04130133
 0.03548809 0.07499827]","[ 0.          0.00919753  0.00890106  0.00254626 -0.01342666  0.03684613
  0.03469043 -0.03534126]"
out_42222149-b108-4cfc-8426-ffad6c6b19cc.h5,"[ 2.31930646e+07  1.77304996e+07  1.56901789e+07  1.56901789e+07
  4.85279250e+07  4.70814765e+07  4.70896845e+07  4.74536947e+07
 -1.00000000e+00]",1.0048897590285832,"[-1.00000000e+00  1.55974745e+01  8.05233549e+01  3.88143166e-01
  5.65474185e+02  2.06311702e+01  4.43595092e-01  3.54785903e+01
  4.34585935e+01]",1e+18,0.0,26760643051.162266,"[86.56696718 86.36339067 86.29901119 86.29907692 88.42239369 88.24058712
 88.2408499  88.29265382 85.44065856]","[17610.4565031  17609.57341807 17568.44015475 17487.31419881
 17486.64102773 16920.89456237 16900.095369   16899.62573506
 16864.00681819]","[2.71247525e+10 2.71393859e+10 2.71503386e+10 2.71501489e+10
 2.71031988e+10 2.71071040e+10 2.71071278e+10 2.71081214e+10
 2.72094559e+10]","[3.64109484e+08 3.78742889e+08 3.89695563e+08 3.89505827e+08
 3.42555706e+08 3.46460950e+08 3.46484731e+08 3.47478300e+08
 4.48812830e+08]","[0.         0.00013105 0.00020823 0.00029814 0.00034067 0.00038284
 0.00040889 0.00041293 0.00043473]",1e-09,447.5296005484434,155.64586390071958,0.02,0.006,"[-0.00122093  0.00042702  0.00277351 -0.00294886 -0.00084137  0.00048562
 -0.00306717 -0.00158274 -0.00205345]","[ 0.0026286  -0.00290209  0.00208466  0.00017022 -0.0029365   0.00373807
  0.00182113  0.00328614 -0.00214993]","[0.02263309 0.02783221 0.03021305 0.03021409 0.00654985 0.00744746
 0.00744658 0.00718699 0.07499436]","[ 0.         -0.00201078 -0.02451645  0.02975327 -0.00608297 -0.00481555
  0.0065816   0.00292716  0.00304752]"
out_dcd9991a-4be4-41b6-b9de-cd6262f68b95.h5,[ 1.23930457e+07  7.59045751e+06 -1.00000000e+00],1.0048897590285832,[-1.         30.61036083 19.67708689],1e+18,0.0,26760643051.162266,[86.23434622 86.11747034 87.21968712],[18471.68893889 18471.31987498 18440.05366205],[2.71095553e+10 2.71246005e+10 2.71411959e+10],[3.48912240e+08 3.63957425e+08 3.80552863e+08],[0.00000000e+00 5.21344757e-05 1.44820136e-04],1e-09,447.63282155400555,155.64586390071958,0.02,0.006,[ 0.00124402  0.00034746 -0.00073329],[-0.00061576  0.00089997  0.00118551],[ 0.03578197  0.04698118 -0.02413383],[ 0.          0.0255821  -0.02411975]
out_4ce823ed-676e-4e35-9ebb-49b9353b7150.h5,"[ 3.93053595e+07  8.93209096e+06  8.89473542e+06  8.88917365e+06
 -1.00000000e+00]",1.0048897590285832,[-1.         30.05215748 19.37613675  0.39571093 18.00786622],1e+18,0.0,26760643051.162266,[87.54256584 86.15188713 86.15113084 86.15099403 86.00985893],"[18162.35954412 18162.08614873 18131.95780495 18111.70520633
 18110.65445922]","[2.70602058e+10 2.71365853e+10 2.71370673e+10 2.71379799e+10
 2.71455794e+10]","[2.99562775e+08 3.75942269e+08 3.76424282e+08 3.77336862e+08
 3.84936360e+08]","[0.00000000e+00 3.94524896e-05 5.04034027e-05 1.76519788e-04
 2.70780433e-04]",1e-09,447.9697038461841,155.64586390071958,0.02,0.006,"[ 2.97616236e-04 -1.83515584e-04  5.10030853e-04 -8.63632308e-05
 -1.55469771e-04]","[ 3.06356813e-04 -8.90154783e-05 -6.77001535e-04  6.93378453e-04
 -1.58717747e-04]",[0.01215452 0.04291206 0.04299794 0.04301229 0.07499983],[ 0.         -0.00419327  0.04075502  0.02385694 -0.02996256]
out_bca68a90-9fb8-40e8-86eb-de6affa58f0a.h5,"[ 3.77771231e+07  4.22305238e+07  3.05969065e+06  3.92647920e+06
  7.17528505e+06 -1.00000000e+00]",1.0048897590285832,[-1.         16.7678884  15.64166728 15.47269903 26.26422827 33.30510876],1e+18,0.0,26760643051.162266,[87.29524781 87.61557264 85.99502681 86.00896471 86.07007605 85.98869522],"[18337.23747263 18336.78555966 18319.06532083 18303.41531532
 18287.71468654 18260.88391838]","[2.70559269e+10 2.70475177e+10 2.71451107e+10 2.71433914e+10
 2.71344550e+10 2.71434813e+10]","[2.95283839e+08 2.86874679e+08 3.84467643e+08 3.82748340e+08
 3.73811904e+08 3.82838259e+08]","[0.00000000e+00 6.45877018e-05 2.00897626e-04 2.02083101e-04
 2.34523588e-04 3.15351346e-04]",1e-09,447.99903668373594,155.64586390071958,0.02,0.006,[-0.00019921  0.00151622  0.00170944  0.00137163  0.00275306  0.00252084],[-0.00285131  0.00261943 -0.00328605 -0.00319919 -0.0022076   0.00128969],[0.01350644 0.01110058 0.0725708  0.06466317 0.04809724 0.04730676],[ 0.          0.00171934 -0.00177631 -0.06313788  0.04432014  0.04731093]
out_29ca4650-257c-4ce3-9e5c-d59b0b67e4de.h5,"[16494041.92181379 16510173.01415664 31132599.18298091 31338488.28301949
 31327584.14656756 33457999.56791961 44236231.65913591 48667825.31735758
 48932324.36827324 51547028.72345825 50205656.22898143 46481918.86277601
 46602213.68385784 37071977.83571857]",1.0048897590285832,"[ -1.           0.67258381  64.10820573  17.36083501   0.97058963
  28.01293984  73.22532158  38.26225988  68.29663554  17.51811747
  45.57920329  29.52535738  44.06497888 130.71028315]",1e+18,0.0,26760643051.162266,"[86.354592   86.35516876 86.99654018 87.00908961 87.00844864 87.13606447
 88.00495374 88.57799818 88.63826595 89.20614652 88.89155292 88.29984825
 88.32271554 87.41266874]","[17658.86900025 17658.21374123 17657.32255045 17592.41423941
 17573.36194016 17572.03588752 17543.77603334 17469.81264692
 17431.17284641 17362.66576958 17344.88085289 17282.74013806
 17252.96704018 17208.41179972]","[2.71392309e+10 2.71392167e+10 2.71066716e+10 2.71068903e+10
 2.71072702e+10 2.71037317e+10 2.70839929e+10 2.70767943e+10
 2.70795652e+10 2.70751627e+10 2.70800624e+10 2.70899031e+10
 2.70918032e+10 2.71185259e+10]","[3.78587830e+08 3.78573613e+08 3.46028558e+08 3.46247258e+08
 3.46627197e+08 3.43088645e+08 3.23349845e+08 3.16151262e+08
 3.18922141e+08 3.14519698e+08 3.19419359e+08 3.29260036e+08
 3.31160112e+08 3.57882805e+08]","[0.00000000e+00 9.68485028e-05 1.29161155e-04 2.48171350e-04
 5.00035505e-04 5.52970819e-04 5.89811059e-04 7.00534969e-04
 7.57321230e-04 7.89097935e-04 8.29433833e-04 8.59912883e-04
 8.97548098e-04 9.72215414e-04]",1e-09,447.4314898415533,155.64586390071958,0.02,0.006,"[ 1.55756930e-03 -1.62388767e-03 -2.24749462e-03 -8.08019208e-04
  1.39400573e-04 -9.69647706e-04 -2.08463021e-03 -1.49643448e-04
 -1.46766516e-03 -1.41493980e-03 -1.76131042e-03  4.13657330e-05
  2.28655613e-03 -4.28863847e-04]","[ 5.04897389e-05  1.58085560e-03 -6.74723136e-04  1.40113179e-03
 -2.35246278e-03 -2.04471188e-03 -2.82954812e-04 -1.70949105e-03
 -1.23940221e-03  5.64334916e-04 -5.81779619e-04  1.70414078e-03
  6.86250652e-04 -1.48453250e-03]","[0.0293742  0.02935416 0.0168746  0.01673219 0.01673957 0.01539316
 0.00899255 0.00601993 0.00573895 0.00323129 0.00458748 0.00739398
 0.00727663 0.01295388]","[ 0.          0.01574171 -0.01686833 -0.01231124  0.01434175  0.00834151
 -0.00898596 -0.0044962   0.00367291  0.00281713  0.00115621 -0.00594357
  0.00516906 -0.00711505]"
out_75fe72e9-9ae2-4da3-835b-29cc8a581c85.h5,"[ 5.00382420e+07  4.70322881e+07  4.60775214e+07  4.22107252e+07
  1.23658120e+07 -1.00000000e+00]",1.0048897590285832,[-1.         19.11760985 22.48768343 17.4355217  33.98623202 34.07736977],1e+18,0.0,26760643051.162266,[88.8969728  88.39270068 88.26877947 87.84307746 86.24235456 86.01777651],"[17661.85474044 17660.84426933 17640.82827789 17618.04988852
 17600.04988105 17565.68030384]","[2.70621983e+10 2.70693298e+10 2.70724501e+10 2.70813831e+10
 2.71552750e+10 2.71759031e+10]","[3.01555295e+08 3.08686791e+08 3.11807080e+08 3.20740020e+08
 3.94631908e+08 4.15260020e+08]",[0.         0.00015005 0.00028357 0.00032683 0.00041088 0.00046778],1e-09,447.9560514912501,155.64586390071958,0.02,0.006,[ 0.000296   -0.00042122  0.00044548  0.0011943  -0.00028323 -0.00092402],[ 0.00101689 -0.00036227  0.00085628 -0.00056332  0.00076342  0.00075906],[0.00462739 0.00701978 0.00765915 0.01009191 0.03531962 0.07499907],[ 0.         -0.00333357 -0.00342822 -0.00733409  0.00204256 -0.02895849]
out_fef5891b-1223-459c-99b8-eb5588c40030.h5,"[ 5.55317497e+07  5.31078314e+07  5.21239735e+07  5.39781036e+07
  5.33596267e+07  4.62669460e+07  3.96108565e+07 -1.00000000e+00]",1.0048897590285832,"[ -1.          18.70745294  16.6796092   25.1847435   17.21619255
 125.56577253  41.21836982  55.31508071]",1e+18,0.0,26760643051.162266,"[89.67188895 88.91981864 88.74304042 89.13240976 88.99407475 88.0164875
 87.45499807 85.56151983]","[18572.15031967 18571.35382161 18551.58257688 18534.4214766
 18508.99265091 18491.28136267 18365.64195111 18324.05564838]","[2.70091209e+10 2.70145887e+10 2.70172911e+10 2.70150433e+10
 2.70170513e+10 2.70368766e+10 2.70524468e+10 2.71258824e+10]","[2.48477818e+08 2.53945629e+08 2.56648065e+08 2.54400298e+08
 2.56408250e+08 2.76233596e+08 2.91803739e+08 3.65239361e+08]","[0.         0.00011261 0.00026314 0.00033133 0.00036595 0.00043624
 0.00044676 0.00049939]",1e-09,448.3211895844246,155.64586390071958,0.02,0.006,"[ 5.33347677e-04  2.10019603e-03 -4.76805600e-04 -3.94806933e-04
  2.29473685e-03 -3.13830519e-03 -4.06708381e-05 -1.82661241e-03]","[ 0.002501   -0.00204848 -0.00322001 -0.00309199 -0.00081937 -0.00099646
  0.00248897 -0.00150065]","[0.00128963 0.00437194 0.00514861 0.00347145 0.00405454 0.00875653
 0.01239708 0.07499771]","[ 0.         -0.0012628  -0.0042548  -0.00338189 -0.00280945  0.00042448
  0.00730441 -0.01211938]"
