File_name,signal,trap,B_bkg [Tesla],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Energy [eV],LO frequency [Hertz],Pitch angle [degrees],Starting position [metres],Starting velocity [metres/second],Time step [seconds],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres]
out_03e2eacb-b00e-4e7a-aa29-882aec69ea96.h5,signal1,Bathtub,0.7,18917522875.068737,210072739.25515366,18575.0,18707450135.813583,89.5,[0.001035   0.00189644 0.        ],[42911258.85362515 65972822.54833302  -686810.00908256],1e-09,0.1,594.9460824827934,108.22536124357357,0.02
out_e5cb3022-cc43-4b31-93d7-bb09832ecf5c.h5,signal1,Bathtub,0.7,18917505558.57362,210055422.76003647,18575.0,18707450135.813583,89.5,[0.00138885 0.00177621 0.        ],[78253639.49529141  8375998.87402257   686810.00908256],1e-09,0.1,594.9468961025253,108.22536124357357,0.02
out_a260cc07-bdfa-45bd-ba71-c4675a0b3e72.h5,signal1,Bathtub,0.7,18917513874.85029,210063739.03670502,18575.0,18707450135.813583,89.5,[0.00138826 0.00286296 0.        ],[-73714662.61519878  27566972.3931388    -686810.00908256],1e-09,0.1,594.9465053595493,108.22536124357357,0.02
out_e8f5544b-0da6-4537-9af6-2e23e771bf02.h5,signal1,Bathtub,0.7,18917542634.868214,210092499.05463028,18575.0,18707450135.813583,89.5,[ 0.00079482 -0.00152775  0.        ],[-11780900.3389458   77813879.47275528   -686810.00908256],1e-09,0.1,594.9451540706193,108.22536124357357,0.02
out_51aacd5c-fe34-4fac-a502-999502336495.h5,signal1,Bathtub,0.7,18917536699.73469,210086563.92110825,18575.0,18707450135.813583,89.5,[2.37216300e-03 9.26130532e-06 0.00000000e+00],[-41683873.46010719  66755105.75797503    686810.00908256],1e-09,0.1,594.9454329315032,108.22536124357357,0.02
out_2d47a8bd-fbd3-447d-a73c-e7fee00a2a0b.h5,signal1,Bathtub,0.7,18917536979.32732,210086843.51373672,18575.0,18707450135.813583,89.5,[-0.00077576  0.00146693  0.        ],[-28230362.84325241  73463161.27920833    686810.00908256],1e-09,0.1,594.9454197948934,108.22536124357357,0.02
out_232a6aaf-b185-42b1-9bbb-5372a9a20050.h5,signal1,Bathtub,0.7,18917451520.030193,210001384.21660995,18575.0,18707450135.813583,89.5,[-0.00307307  0.00073683  0.        ],[26739906.0892981  74018692.73185104  -686810.00908256],1e-09,0.1,594.9494351524502,108.22536124357357,0.02
out_a5f40aba-da65-44ba-854c-d462ee7e265e.h5,signal1,Bathtub,0.7,18917471972.838352,210021837.02476883,18575.0,18707450135.813583,89.5,[-0.0020231  -0.00194655  0.        ],[-59481436.43489967  51533951.6342154     686810.00908256],1e-09,0.1,594.9484741523449,108.22536124357357,0.02
out_98544429-034a-4f38-874e-f84b840e587e.h5,signal1,Bathtub,0.7,18917531091.397766,210080955.58418274,18575.0,18707450135.813583,89.5,[ 0.00180428 -0.00044461  0.        ],[-78314972.39081305   7781680.46265387    686810.00908256],1e-09,0.1,594.9456964385262,108.22536124357357,0.02
out_b604dcf4-6862-47f3-8df3-a19ee04944e9.h5,signal1,Bathtub,0.7,18917444532.35306,209994396.5394783,18575.0,18707450135.813583,89.5,[ 7.21952476e-05 -3.94614591e-03  0.00000000e+00],[ 9657910.16201628 78105788.66319117  -686810.00908256],1e-09,0.1,594.9497634787538,108.22536124357357,0.02
out_51f7eaf0-be59-419d-820f-b24915cbc829.h5,signal1,Bathtub,0.7,18917444854.321243,209994718.5076599,18575.0,18707450135.813583,89.5,[-0.0023283   0.00231378  0.        ],[68333331.55852893 39042864.25851484  -686810.00908256],1e-09,0.1,594.9497483505846,108.22536124357357,0.02
out_d33f27ad-2446-460f-b575-e308220c15f2.h5,signal1,Bathtub,0.7,18917497235.89551,210047100.08192825,18575.0,18707450135.813583,89.5,[0.00070005 0.00228816 0.        ],[ 48498559.44269777 -61981280.91109259    686810.00908256],1e-09,0.1,594.9472871475618,108.22536124357357,0.02
out_94130e36-6e5f-4538-a576-a805910e361f.h5,signal1,Bathtub,0.7,18917501379.90304,210051244.08945847,18575.0,18707450135.813583,89.5,[-0.0014771   0.00164695  0.        ],[50777441.26918612 60128536.56585211  -686810.00908256],1e-09,0.1,594.9470924392126,108.22536124357357,0.02
out_304cb883-3231-4831-9623-5ec6c543cda0.h5,signal1,Bathtub,0.7,18917557081.2856,210106945.47201538,18575.0,18707450135.813583,89.5,[-0.00073951  0.0011131   0.        ],[-78619083.74627966  -3581776.41570862   -686810.00908256],1e-09,0.1,594.9444753117551,108.22536124357357,0.02
out_d44846af-8f6d-42a3-a6ff-f61faa6df6b6.h5,signal1,Bathtub,0.7,18917522309.180492,210072173.36690903,18575.0,18707450135.813583,89.5,[ 2.85122163e-03 -2.18526402e-05  0.00000000e+00],[39407596.79289715 68123643.22615975   686810.00908256],1e-09,0.1,594.9461090711021,108.22536124357357,0.02
out_226b7ed4-47a1-4a72-a94d-16b6713859e1.h5,signal1,Bathtub,0.7,18917495027.86418,210044892.05059814,18575.0,18707450135.813583,89.5,[ 0.00259801 -0.0020935   0.        ],[78683103.91599257 -1660906.24111483  -686810.00908256],1e-09,0.1,594.9473908931926,108.22536124357357,0.02
out_20bfc5ec-198f-466d-8405-e6bf87969221.h5,signal1,Bathtub,0.7,18917449954.381935,209999818.56835175,18575.0,18707450135.813583,89.5,[ 0.00272726 -0.00239632  0.        ],[ 46276848.65787617 -63657228.41667461    686810.00908256],1e-09,0.1,594.9495087166613,108.22536124357357,0.02
out_6f2ded7a-68fa-412f-9b7a-51fa03523021.h5,signal1,Bathtub,0.7,18917512063.88804,210061928.07445526,18575.0,18707450135.813583,89.5,[-2.94700758e-03 -9.16084260e-05  0.00000000e+00],[ 62474137.3674471  -47862005.92944273    686810.00908256],1e-09,0.1,594.9465904480928,108.22536124357357,0.02
out_851b08e4-3d83-425f-8ce3-ea54cb861978.h5,signal1,Bathtub,0.7,18917486364.750294,210036228.93671036,18575.0,18707450135.813583,89.5,[-0.00305974  0.00155797  0.        ],[ 43652609.95379161 -65484647.7857123     686810.00908256],1e-09,0.1,594.9477979354907,108.22536124357357,0.02
out_d1e688d3-9a25-4d28-b888-1da984f9c7b7.h5,signal1,Bathtub,0.7,18917513996.949577,210063861.13599396,18575.0,18707450135.813583,89.5,[ 0.00188177 -0.00032128  0.        ],[-26551906.93410803 -74086339.42609884   -686810.00908256],1e-09,0.1,594.9464996226839,108.22536124357357,0.02
out_945557e1-d8cf-4751-ab08-0b9b6efde9bc.h5,signal1,Bathtub,0.7,18917468643.007484,210018507.19390106,18575.0,18707450135.813583,89.5,[0.00167678 0.00261935 0.        ],[  1438677.15049032 -78687480.95760415   -686810.00908256],1e-09,0.1,594.9486306079745,108.22536124357357,0.02
out_df043387-7d85-42d2-829c-74a730b2bd66.h5,signal1,Bathtub,0.7,18917496978.71751,210046842.90392685,18575.0,18707450135.813583,89.5,[-0.00227522 -0.00252845  0.        ],[  9947740.35187096 -78069404.46351835   -686810.00908256],1e-09,0.1,594.9472992312147,108.22536124357357,0.02
out_11c8210c-7add-4cf7-be06-3aec050e970a.h5,signal1,Bathtub,0.7,18917539455.12463,210089319.3110466,18575.0,18707450135.813583,89.5,[-1.46937399e-03  6.75873130e-05  0.00000000e+00],[76627062.84918615 17946662.37782212   686810.00908256],1e-09,0.1,594.9453034700592,108.22536124357357,0.02
