File_name,signal,trap,B_bkg [Tesla],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Energy [eV],LO frequency [Hertz],Pitch angle [degrees],Starting x position [metres],Starting y position [metres],Starting z position [metres],Starting velocity [metres/second],Time step [seconds],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres]
out_72e7cc1c-3c7d-47cc-9fe4-bd91f616d2ac.h5,signal1,Bathtub,1.0,27024982717.93146,214339666.76919556,18575.0,26810643051.162266,89.5,0.001992027132628596,-0.0021748539090863956,0.0,[ 21842862.5761351  -75608721.75798726   -686810.00908256],1e-09,0.1,495.818409664629,154.60765618550025,0.02
out_62967fba-83e3-43bc-93fa-60a8f114d3c9.h5,signal1,Bathtub,1.0,27025075554.599594,214432503.43732834,18575.0,26810643051.162266,89.5,0.001106449098388479,0.00041037343680973124,0.0,[71784545.67132047 32260943.16908243  -686810.00908256],1e-09,0.1,495.81716265502854,154.60765618550025,0.02
out_d4a0acc4-c8bd-4aa4-9e31-733e5de2098b.h5,signal1,Bathtub,1.0,27025033353.51115,214390302.34888458,18575.0,26810643051.162266,89.5,0.0017220905138179302,0.001991076199135969,0.0,[-78510270.02449128  -5470553.1784387     686810.00908256],1e-09,0.1,495.817729509778,154.60765618550025,0.02
out_ef06aad0-9bb8-419f-8037-ca0efd9474e8.h5,signal1,Bathtub,1.0,27024992785.922253,214349734.75998688,18575.0,26810643051.162266,89.5,0.0021924030114169354,-0.0026514083321905624,0.0,[38058572.00431556 68886388.70189805  -686810.00908256],1e-09,0.1,495.81827442732106,154.60765618550025,0.02
out_47c386d5-7431-4df3-8af1-23e11cf38912.h5,signal1,Bathtub,1.0,27024932655.533245,214289604.3709793,18575.0,26810643051.162266,89.5,0.001974525163188865,0.0030858036283077316,0.0,[58140004.04210756 53042712.80185787  -686810.00908256],1e-09,0.1,495.81908212681606,154.60765618550025,0.02
out_5d5ba6dd-3138-4052-ad0b-24e6a1f148c3.h5,signal1,Bathtub,1.0,27025022909.508743,214379858.3464775,18575.0,26810643051.162266,89.5,-0.002245655937642596,0.0015035569686947408,0.0,[-78071077.71245782   9934599.9522896    -686810.00908256],1e-09,0.1,495.8178697967363,154.60765618550025,0.02
out_e0165e98-7139-4fba-a2bf-7053aaf17235.h5,signal1,Bathtub,1.0,27025000662.20017,214357611.03790283,18575.0,26810643051.162266,89.5,-0.0015707011531035768,-0.0029656582931035604,0.0,[ 70043661.03143463 -35884188.72860505    686810.00908256],1e-09,0.1,495.81816863016587,154.60765618550025,0.02
out_fcbbe6c1-9b3a-4fa2-8b7d-68f1df6112bd.h5,signal1,Bathtub,1.0,27024910956.65465,214267905.49238586,18575.0,26810643051.162266,89.5,-0.0034936268038665294,-0.0008770904041981631,0.0,[-2256019.32443764 78668289.85178478  -686810.00908256],1e-09,0.1,495.8193735985901,154.60765618550025,0.02
out_26bff932-7b5d-42b2-8a95-74a20b218289.h5,signal1,Bathtub,1.0,27025064968.053963,214421916.89169693,18575.0,26810643051.162266,89.5,-0.00160266952983655,-0.001241698608763952,0.0,[ 56830969.99251951 -54442908.63928936    686810.00908256],1e-09,0.1,495.81730485551805,154.60765618550025,0.02
out_96ee3508-8bca-4e14-b251-789e53f09c33.h5,signal1,Bathtub,1.0,27025064893.15977,214421841.9975052,18575.0,26810643051.162266,89.5,0.0019649996094563507,-0.00010008315008929896,0.0,[40905947.39043005 67234611.02354969  -686810.00908256],1e-09,0.1,495.817305861512,154.60765618550025,0.02
out_2643ad6c-eac2-4197-9770-4a9534846540.h5,signal1,Bathtub,1.0,27025069910.907764,214426859.74549866,18575.0,26810643051.162266,89.5,-0.0005844071921396706,0.0010396067006157197,0.0,[ 62805180.77330124 -47426772.18016858   -686810.00908256],1e-09,0.1,495.81723846213197,154.60765618550025,0.02
out_efdf0353-c43e-4a79-a4c9-1b7c287752b6.h5,signal1,Bathtub,1.0,27024988813.649574,214345762.4873085,18575.0,26810643051.162266,89.5,-0.0008394203999951307,-0.0025636988259801464,0.0,[-76368895.46849243 -19015290.06665785    686810.00908256],1e-09,0.1,495.8183277844567,154.60765618550025,0.02
out_951b1f52-aebf-4c80-aeef-4f85bc282697.h5,signal1,Bathtub,1.0,27025078177.31073,214435126.1484642,18575.0,26810643051.162266,89.5,-0.001024494282263776,0.0009166015709717561,0.0,[-78697912.55011202    654225.99427146   -686810.00908256],1e-09,0.1,495.8171274263197,154.60765618550025,0.02
out_4599f289-0aba-4df7-a199-6a6518dc98de.h5,signal1,Bathtub,1.0,27024955141.651752,214312090.4894867,18575.0,26810643051.162266,89.5,-0.0016140543171242522,0.0031089142978549924,0.0,[-35233781.01421232  70373078.13957828   -686810.00908256],1e-09,0.1,495.8187800816672,154.60765618550025,0.02
out_df5ba695-0a46-4431-b675-dafd846c4539.h5,signal1,Bathtub,1.0,27025051109.630985,214408058.46871948,18575.0,26810643051.162266,89.5,0.0018284522586885647,0.0013945701395049672,0.0,[-2692402.8566716  78654563.87428543   686810.00908256],1e-09,0.1,495.81749100492215,154.60765618550025,0.02
out_e7d1f390-4e8b-47b8-b455-eaff8724f2b9.h5,signal1,Bathtub,1.0,27025001239.489872,214358188.3276062,18575.0,26810643051.162266,89.5,0.002907540165489981,-0.00013155308594171554,0.0,[78567912.47033735  4568652.03862898   686810.00908256],1e-09,0.1,495.81816087579773,154.60765618550025,0.02
out_9aca77b1-8412-4393-976e-1a739e2ae7ea.h5,signal1,Bathtub,1.0,27025057885.329144,214414834.16687775,18575.0,26810643051.162266,89.5,-0.0018934957488943199,4.2027113837504096e-05,0.0,[-74019791.86341721 -26736863.38920585   -686810.00908256],1e-09,0.1,495.8173999921831,154.60765618550025,0.02
out_3ac35ae1-20e6-4a8c-b923-ddbfd5824385.h5,signal1,Bathtub,1.0,27025021122.696815,214378071.5345497,18575.0,26810643051.162266,89.5,0.0025318873005751815,-0.00022915763533144838,0.0,[78576689.06753503 -4415131.54736995  -686810.00908256],1e-09,0.1,495.81789379775563,154.60765618550025,0.02
