File_name,signal,trap,Axial Frequency [Hertz],B_bkg [Tesla],Gas density [m^-3],LO frequency [Hertz],Pitch angle [degrees],Energy [eV],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Time [seconds],Time step [seconds],i_coil [Amps],r_coil [metres],r_wg [metres],Starting x position [metres],Starting y position [metres],Maxmimum z position [metres],Starting z position [metres]
out_b93a0f59-271f-4789-b571-979b8f51de47.h5,signal1,Bathtub,18143927.67288472,0.7,1e+18,18716858991.749607,87.16449417004407,17599.516345177344,18970392770.041954,253533778.29234695,0.0,1e-09,592.4876831809706,108.22535932985018,0.02,-0.001915044138373831,0.0021202264285555424,0.037226348800261454,0.0
out_b93a0f59-271f-4789-b571-979b8f51de47.h5,signal1,Bathtub,-1.0,0.7,1e+18,18716858991.749607,85.61900125845892,17599.298159442827,18985996269.883408,269137278.1338005,6.626324172246026e-05,1e-09,592.4876831809706,108.22535932985018,0.02,0.0007086118526337034,0.0022830238516923307,0.07498390329126593,-0.03187193536139298
out_3d7b5f79-5d06-4fb1-bda7-b88deb513d49.h5,signal1,Bathtub,11621119.911383223,0.7,1e+18,18716858991.749607,89.62380902695152,17960.736782156488,18939222316.550365,222363324.80075836,0.0,1e-09,593.9308883424104,108.22535932985018,0.02,-5.568807848678719e-05,0.00019315921611634437,0.007014961237640253,0.0
out_3d7b5f79-5d06-4fb1-bda7-b88deb513d49.h5,signal1,Bathtub,11638995.257336874,0.7,1e+18,18716858991.749607,89.60741961730537,17960.724722264044,18939758020.985405,222899029.23579788,3.5918753758028424e-06,1e-09,593.9308883424104,108.22535932985018,0.02,-0.000931594073374748,-0.00044192092087465534,0.007311380186065148,-0.0070071904065624625
out_3d7b5f79-5d06-4fb1-bda7-b88deb513d49.h5,signal1,Bathtub,13951514.854892636,0.7,1e+18,18716858991.749607,88.65489371229998,17946.62910202577,18944552657.768574,227693666.01896667,7.270420531230043e-05,1e-09,593.9308883424104,108.22535932985018,0.02,-0.00019218220124145042,-0.00037183347961746886,0.02204403309591536,0.0065909313420719285
out_3d7b5f79-5d06-4fb1-bda7-b88deb513d49.h5,signal1,Bathtub,14069809.588509886,0.7,1e+18,18716858991.749607,88.61549961926474,17932.526982007737,18945319057.91126,228460066.1616516,9.090486960599542e-05,1e-09,593.9308883424104,108.22535932985018,0.02,0.0003565827422590045,-0.00046807177392202453,0.02254289306693738,-0.0011504687278793043
out_3d7b5f79-5d06-4fb1-bda7-b88deb513d49.h5,signal1,Bathtub,17304115.433356717,0.7,1e+18,18716858991.749607,87.56836107266453,17917.223214938986,18955143786.33332,238284794.58371353,0.00012374971981453072,1e-09,593.9308883424104,108.22535932985018,0.02,-0.0005020781609740427,-5.676352412548689e-05,0.03357453742189902,0.014021466389493585
out_3d7b5f79-5d06-4fb1-bda7-b88deb513d49.h5,signal1,Bathtub,16987121.939428255,0.7,1e+18,18716858991.749607,87.67826994870288,17899.66428635657,18954716006.079487,237857014.32987976,0.00017414268940931185,1e-09,593.9308883424104,108.22535932985018,0.02,0.000962800419856148,0.00017226182594007889,0.03256191898411728,0.01318874452569995
out_3d7b5f79-5d06-4fb1-bda7-b88deb513d49.h5,signal1,Bathtub,17206529.91791212,0.7,1e+18,18716858991.749607,87.59606580348391,17875.229418328243,18956366709.678406,239507717.92879868,0.0003542725408548474,1e-09,593.9308883424104,108.22535932985018,0.02,-0.0003431612354534284,0.00047306747598548006,0.03332108462316854,-0.03204151103715355
out_3d7b5f79-5d06-4fb1-bda7-b88deb513d49.h5,signal1,Bathtub,17636452.537510626,0.7,1e+18,18716858991.749607,87.40709160197721,17852.282975362075,18963437555.681355,246578563.93174744,0.00044057524579714416,1e-09,593.9308883424104,108.22535932985018,0.02,0.0006502774296090891,0.0002926507941547853,0.03502807038711775,-0.03327333909454198
