File_name,signal,trap,B_bkg [Tesla],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Energy [eV],LO frequency [Hertz],Pitch angle [degrees],Starting x position [metres],Starting y position [metres],Starting z position [metres],Starting velocity [metres/second],Time step [seconds],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres]
out_087f4090-6cee-4257-9be1-0de405dd2039.h5,signal1,Harmonic,0.7033999999999999,18907952975.819836,158666653.63230133,18575.0,18749286322.187534,89.5,0.0010499851005890172,0.0010325466821430962,0.0,[ 73749109.21194126 -27474685.47302812    686810.00908256],1e-09,595.3965775682207,108.22536124357357,0.02,0.006
out_6f5f153d-9547-45d0-85e1-43d3d000b8da.h5,signal1,Harmonic,0.7033999999999999,18905656690.240284,156370368.05274963,18575.0,18749286322.187534,89.5,-0.003667937980790334,0.0009621756636856987,0.0,[78664720.05143708 -2377240.12789874   686810.00908256],1e-09,595.5049275849888,108.22536124357357,0.02,0.006
out_799f6692-0430-41a6-a871-95d8f41fec27.h5,signal1,Harmonic,0.7033999999999999,18906929412.51682,157643090.32928467,18575.0,18749286322.187534,89.5,0.0019330471508937671,0.000399459052958689,0.0,[11318788.60348904 77882440.10010335  -686810.00908256],1e-09,595.444862122649,108.22536124357357,0.02,0.006
out_5aefc6d4-937f-421b-85e6-7fc6ab6779b9.h5,signal1,Harmonic,0.7033999999999999,18906366530.641693,157080208.45415878,18575.0,18749286322.187534,89.5,0.0012713052612022392,0.002646302264292714,0.0,[-48219918.99379027 -62198302.73913401    686810.00908256],1e-09,595.4714233006404,108.22536124357357,0.02,0.006
out_38e7d13f-ef18-4a3e-96df-41d21828feee.h5,signal1,Harmonic,0.7033999999999999,18907531105.59073,158244783.40319443,18575.0,18749286322.187534,89.5,-0.0012790490917982998,0.0010713704960743362,0.0,[ 57911665.17542226 -53291917.66118429   -686810.00908256],1e-09,595.4164760807366,108.22536124357357,0.02,0.006
out_815e33d9-de04-4770-b47d-cd38878b44e0.h5,signal1,Harmonic,0.7033999999999999,18906846276.318726,157559954.13119125,18575.0,18749286322.187534,89.5,0.0019184420938862187,0.0007502826147746481,0.0,[-50378861.6841123   60462879.08138135    686810.00908256],1e-09,595.4487847669667,108.22536124357357,0.02,0.006
out_4bdd96ee-d07c-4724-9f10-98a4126cc86b.h5,signal1,Harmonic,0.7033999999999999,18905678935.106045,156392612.91851044,18575.0,18749286322.187534,89.5,0.002144375289715377,0.0031792807676198154,0.0,[-21418687.89151942 -75729975.96990466    686810.00908256],1e-09,595.5038774899245,108.22536124357357,0.02,0.006
out_4cb21535-b836-4095-8199-f9c6da7ad33e.h5,signal1,Harmonic,0.7033999999999999,18907044966.674973,157758644.4874382,18575.0,18749286322.187534,89.5,-0.0014728281684621136,0.001227443608785114,0.0,[-76734977.12025255 -17479494.77962618   -686810.00908256],1e-09,595.4394101050817,108.22536124357357,0.02,0.006
out_87c3c1c3-8ec2-4c03-aa06-bca03125a1aa.h5,signal1,Harmonic,0.7033999999999999,18906854101.960686,157567779.7731514,18575.0,18749286322.187534,89.5,-0.0022747682705370493,-0.0014700552320621738,0.0,[-72773350.59395394 -29963793.06306402    686810.00908256],1e-09,595.448415521453,108.22536124357357,0.02,0.006
out_8ff2c9ff-7114-4973-b927-1932b283bfae.h5,signal1,Harmonic,0.7033999999999999,18907791818.922375,158505496.7348404,18575.0,18749286322.187534,89.5,-0.00016738930841269994,-0.0014940022488922743,0.0,[-27367883.00899054  73788809.65975036    686810.00908256],1e-09,595.404178523797,108.22536124357357,0.02,0.006
out_ca1fdd91-bafb-4a8c-b157-fa6fde377f4e.h5,signal1,Harmonic,0.7033999999999999,18905526631.75386,156240309.56632614,18575.0,18749286322.187534,89.5,0.0008488323406490911,0.0036325417713887025,0.0,[16655811.2282514  76917965.41592553  -686810.00908256],1e-09,595.5110673342652,108.22536124357357,0.02,0.006
out_aa757e34-0546-4212-ba7e-7a0be7d619bb.h5,signal1,Harmonic,0.7033999999999999,18907805801.982628,158519479.79509354,18575.0,18749286322.187534,89.5,-7.691596072283725e-05,0.0019482617427328411,0.0,[78000971.46601099 10470811.89570329   686810.00908256],1e-09,595.4035189943498,108.22536124357357,0.02,0.006
out_d58b7bfc-4ccd-4afa-95ba-1548ab581f8d.h5,signal1,Harmonic,0.7033999999999999,18907136657.326294,157850335.1387596,18575.0,18749286322.187534,89.5,-0.0015528235110283625,-0.000780536472628209,0.0,[ 56808350.62958741 -54466510.35400116    686810.00908256],1e-09,595.4350841810534,108.22536124357357,0.02,0.006
out_1f5e10bd-1c35-49e3-8416-65549c4942f0.h5,signal1,Harmonic,0.7033999999999999,18907825283.52882,158538961.3412857,18575.0,18749286322.187534,89.5,-0.0017986057041342758,0.00011488375651018222,0.0,[-32042637.25491692  71882256.84511074   -686810.00908256],1e-09,595.4026001276676,108.22536124357357,0.02,0.006
out_779d5f71-8926-462a-94cb-e7dba006f9dc.h5,signal1,Harmonic,0.7033999999999999,18907852937.04493,158566614.85739517,18575.0,18749286322.187534,89.5,0.0007696540122761969,-0.0013174264329293185,0.0,[-74567468.92188753  25169068.9136487    -686810.00908256],1e-09,595.4012958340033,108.22536124357357,0.02,0.006
out_a61728f0-cf65-4100-850d-7e8522cdef6a.h5,signal1,Harmonic,0.7033999999999999,18906702918.52422,157416596.33668518,18575.0,18749286322.187534,89.5,0.0023287822797966175,0.002078390163508135,0.0,[77857708.26494071 11487676.66362715  -686810.00908256],1e-09,595.4555491715888,108.22536124357357,0.02,0.006
out_c2a11d7a-840d-4a58-9a78-e5f419ba3351.h5,signal1,Harmonic,0.7033999999999999,18907712694.343502,158426372.1559677,18575.0,18749286322.187534,89.5,0.0019236706687576078,-0.0003869780471128046,0.0,[ 33881203.35929406 -71034171.42701688    686810.00908256],1e-09,595.4079106075918,108.22536124357357,0.02,0.006
out_1f5c7bc8-a143-4b8c-936f-12cbd41b74a4.h5,signal1,Harmonic,0.7033999999999999,18906245461.11216,156959138.9246254,18575.0,18749286322.187534,89.5,-0.0025936266082412776,0.00129802110449544,0.0,[-7.87006033e+07  6.70008209e+04  6.86810009e+05],1e-09,595.4771370843661,108.22536124357357,0.02,0.006
out_c2d75b81-d66e-446f-b548-5b380f1216f9.h5,signal1,Harmonic,0.7033999999999999,18907960108.62954,158673786.44200516,18575.0,18749286322.187534,89.5,-0.0014602627486411755,-0.0005050746179317441,0.0,[-32999625.67237133  71447982.17500639    686810.00908256],1e-09,595.3962411608895,108.22536124357357,0.02,0.006
out_fdb03faf-7599-46bb-b528-74d81d7e880c.h5,signal1,Harmonic,0.7033999999999999,18907753484.586956,158467162.3994217,18575.0,18749286322.187534,89.5,-0.0011286533230899253,-0.0015246887387968394,0.0,[-78676327.9121062    1955729.44534727    686810.00908256],1e-09,595.4059866319427,108.22536124357357,0.02,0.006
out_00269b02-140d-42cc-a805-35d884223650.h5,signal1,Harmonic,0.7033999999999999,18906798859.399208,157512537.21167374,18575.0,18749286322.187534,89.5,0.002112065384832104,-0.001238032925926529,0.0,[-51241938.28618345  59733183.50859618    686810.00908256],1e-09,595.4510221139591,108.22536124357357,0.02,0.006
out_e17d64ed-3377-4658-a932-afc27ae7f33d.h5,signal1,Harmonic,0.7033999999999999,18906808266.938324,157521944.75078964,18575.0,18749286322.187534,89.5,-0.002202571530896104,-0.0001256376989015505,0.0,[-49440898.84601773 -61232238.01801223    686810.00908256],1e-09,595.4505782199203,108.22536124357357,0.02,0.006
out_c4c96fe0-b8c6-4a0c-89c4-09ed10591c3b.h5,signal1,Harmonic,0.7033999999999999,18905288382.54788,156002060.36034393,18575.0,18749286322.187534,89.5,0.0033522255959376945,0.0019884635140349186,0.0,[-68330902.04622573 -39047116.11560788    686810.00908256],1e-09,595.52231532927,108.22536124357357,0.02,0.006
out_11cd0931-98e9-4a48-85d6-4d79e8e08482.h5,signal1,Harmonic,0.7033999999999999,18906472403.55935,157186081.37181473,18575.0,18749286322.187534,89.5,0.0008956481285396724,0.0022532013891932157,0.0,[-78562531.13338211   4660273.95257243   -686810.00908256],1e-09,595.4664269341367,108.22536124357357,0.02,0.006
