File_name,signal,trap,B_bkg [Tesla],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Energy [eV],LO frequency [Hertz],Pitch angle [degrees],Starting x position [metres],Starting y position [metres],Starting z position [metres],Starting velocity [metres/second],Time step [seconds],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres]
out_453d06e3-f988-40e6-88e7-49bc3db7102d.h5,signal1,Harmonic,1.0048571427712552,27007889112.716156,116051511.91098785,18575.0,26891837600.80517,89.5,-0.0034826823450841526,0.0016369626496931593,0.0,[ 74329724.95632637 -25862742.3007216    -686810.00908256],1e-09,496.04839602718505,154.60765618550025,0.02,0.005
out_a47e46f9-3263-4556-9f4a-989f808ef48c.h5,signal1,Harmonic,1.0048571427712552,27010593684.64158,118756083.83641052,18575.0,26891837600.80517,89.5,-0.00015744144026811076,-0.0017967208844109847,0.0,[40192610.32764945 67663457.83690327  -686810.00908256],1e-09,496.01195688625046,154.60765618550025,0.02,0.005
out_c1d14656-7145-476a-b472-7ad231d4a6e3.h5,signal1,Harmonic,1.0048571427712552,27007570206.56782,115732605.76265335,18575.0,26891837600.80517,89.5,-0.0016557293764909546,-0.003347052875647204,0.0,[  5748402.11744476 -78490415.49445905   -686810.00908256],1e-09,496.0526939529582,154.60765618550025,0.02,0.005
out_944955bc-f515-48c0-9895-2606c2046514.h5,signal1,Harmonic,1.0048571427712552,27010723528.158024,118885927.35285568,18575.0,26891837600.80517,89.5,0.0007805596016707341,-0.0018235223181609058,0.0,[  9813809.92065454 -78086353.39313728    686810.00908256],1e-09,496.0102079606055,154.60765618550025,0.02,0.005
out_3f589f65-a45c-4cb6-8d2a-5d92f118d679.h5,signal1,Harmonic,1.0048571427712552,27010963047.12534,119125446.32017136,18575.0,26891837600.80517,89.5,-0.001875537072053351,-0.0008909035265874672,0.0,[-45018932.01462038  64552964.39095302   -686810.00908256],1e-09,496.0069818775383,154.60765618550025,0.02,0.005
out_51570cfe-d774-442a-8086-efc679efec91.h5,signal1,Harmonic,1.0048571427712552,27007811405.30828,115973804.5031128,18575.0,26891837600.80517,89.5,-0.0024305818806838134,-0.002442745584860992,0.0,[ 31231689.11769867 -72238293.48934042   -686810.00908256],1e-09,496.04944327232585,154.60765618550025,0.02,0.005
out_75249067-9d82-4303-82d6-d563bda17c48.h5,signal1,Harmonic,1.0048571427712552,27010066385.309795,118228784.50462723,18575.0,26891837600.80517,89.5,0.001421867400356743,0.002283820297699545,0.0,[ -2962882.79101725 -78644839.48081625   -686810.00908256],1e-09,496.01905978743815,154.60765618550025,0.02,0.005
out_0a3dfc2b-cf5b-442d-b354-515ce9fe0609.h5,signal1,Harmonic,1.0048571427712552,27011453571.19284,119615970.38767242,18575.0,26891837600.80517,89.5,0.0003803602123035677,-0.0007298940181280757,0.0,[-52129676.82751365  58960039.39326742    686810.00908256],1e-09,496.00037546887023,154.60765618550025,0.02,0.005
out_91f053d5-eb15-46f9-ab92-09bfc2de7c4a.h5,signal1,Harmonic,1.0048571427712552,27011436383.25604,119598782.45087051,18575.0,26891837600.80517,89.5,-0.0002706513336915446,0.00044488238766298116,0.0,[-11376294.66023569 -77874060.96512595   -686810.00908256],1e-09,496.00060694652535,154.60765618550025,0.02,0.005
out_c40bd1e0-89a4-47f3-9a89-10b4d6a14ad3.h5,signal1,Harmonic,1.0048571427712552,27007504581.673985,115666980.86881638,18575.0,26891837600.80517,89.5,0.00039235710539403846,0.0038089254110327884,0.0,[-35559884.2421148  -70208860.43858038   -686810.00908256],1e-09,496.0535784180836,154.60765618550025,0.02,0.005
out_d4502d48-069f-43c1-a53d-cd2258b9211e.h5,signal1,Harmonic,1.0048571427712552,27011203591.024796,119365990.21962738,18575.0,26891837600.80517,89.5,3.0125294719759743e-05,0.0010992645121586184,0.0,[-26841959.45415674 -73981745.47858456    686810.00908256],1e-09,496.0037421393726,154.60765618550025,0.02,0.005
out_fb8facae-d07b-4f7c-bf3b-054662bd842b.h5,signal1,Harmonic,1.0048571427712552,27006886562.264465,115048961.45929718,18575.0,26891837600.80517,89.5,-0.0021482842277001086,0.0032858685507481914,0.0,[-78480586.37926239   5881072.43313619    686810.00908256],1e-09,496.06190837595796,154.60765618550025,0.02,0.005
out_0f8cfc78-e8e3-4f57-9669-2507785878ad.h5,signal1,Harmonic,1.0048571427712552,27010645842.70966,118808241.90449142,18575.0,26891837600.80517,89.5,-0.0010859078191805828,0.0013449381290630855,0.0,[ 12927156.8340909  -77631682.1122889     686810.00908256],1e-09,496.01125433854116,154.60765618550025,0.02,0.005
out_b9b2dbd5-6160-416a-83b5-4f3b3040a5f1.h5,signal1,Harmonic,1.0048571427712552,27009947337.165752,118109736.36058426,18575.0,26891837600.80517,89.5,0.0024998412861474274,-0.0006181346845463411,0.0,[-77314504.71962638  14705672.76106504   -686810.00908256],1e-09,496.02066350618065,154.60765618550025,0.02,0.005
out_ada63e01-7928-4712-a326-22827ef0c9cd.h5,signal1,Harmonic,1.0048571427712552,27011563333.441303,119725732.6361351,18575.0,26891837600.80517,89.5,0.0007350854468547968,9.026521939008241e-05,0.0,[ 59920770.86074699 -51022452.61500582    686810.00908256],1e-09,495.99889726949675,154.60765618550025,0.02,0.005
out_46374475-6636-4140-a238-8296d1ecd04f.h5,signal1,Harmonic,1.0048571427712552,27010230516.43645,118392915.6312828,18575.0,26891837600.80517,89.5,-0.0026100941387071103,0.0008117591377813333,0.0,[59998136.1434439  50931455.02250481  -686810.00908256],1e-09,496.0168488080879,154.60765618550025,0.02,0.005
